trial,song_id,grid,decode,snap,tempo_source,beat_period_s,true_first_chorus_s,pred_first_chorus_s,anchor_error_s,anchor_error_bars,anchor_verdict,precision,recall,f1,median_abs_err_s,hit_rate_70ms,hit_rate_500ms,n_pred_boundaries,median_abs_err_beats
T0,176,librosa,smooth,0,librosa,0.48,60.9,60.98133333333333,0.08133333333333326,0.04236111111111107,exact,0.7848761408083442,0.9868852459016394,0.8743645606390704,2.405999999999999,0.0,0.25,4,5.0124999999999975
T0,10,librosa,smooth,0,librosa,0.4906666666666667,47.3,48.608,1.3079999999999998,0.6664402173913042,within_1_bar,0.9906790945406125,0.9562982005141388,0.973185088293002,0.9700000000000024,0.0,0.25,4,1.9769021739130483
T0,170,librosa,smooth,0,librosa,0.4693333333333333,45.7,46.496,0.7959999999999994,0.4240056818181815,within_1_bar,0.9656804733727811,0.7756653992395437,0.8603057459146021,1.8986666666666636,0.0,0.0,4,4.045454545454539
T0,219,librosa,smooth,0,librosa,0.4266666666666667,41.2,42.31466666666667,1.1146666666666647,0.6531249999999988,within_1_bar,0.7333333333333333,0.9313868613138686,0.8205787781350482,1.7766666666666708,0.0,0.0,4,4.16406250000001
T0,418,librosa,smooth,0,librosa,0.48,30.7,30.24,-0.46000000000000085,-0.2395833333333338,exact,0.9916107382550335,0.9609756097560975,0.9760528488852187,0.4846666666666657,0.0,0.5,4,1.0097222222222202
T0,151,librosa,smooth,0,librosa,0.48,63.8,62.944,-0.8559999999999945,-0.44583333333333053,within_1_bar,0.954248366013072,0.9898305084745763,0.9717138103161398,0.7513333333333279,0.0,0.25,4,1.5652777777777664
T0,502,librosa,smooth,0,librosa,0.6933333333333334,7.5,18.858666666666668,11.358666666666668,4.095673076923077,off,0.8998664886515354,0.7480577136514983,0.8169696969696971,3.489999999999995,0.0,0.25,4,5.033653846153839
T0,241,librosa,smooth,0,librosa,0.4693333333333333,45.2,42.922666666666665,-2.2773333333333383,-1.2130681818181845,off,0.8146503884572697,0.9786666666666667,0.8891580860084797,1.9473333333333365,0.0,0.0,4,4.149147727272734
T0,175,librosa,smooth,0,librosa,0.4906666666666667,48.3,48.8,0.5,0.2547554347826087,within_1_bar,0.7131050767414404,0.9741935483870968,0.823449216087253,1.2546666666666653,0.0,0.25,4,2.5570652173913015
T0,504,librosa,smooth,0,librosa,0.48,24.8,26.730666666666668,1.9306666666666672,1.005555555555556,off,0.9629258517034068,0.9524281466798811,0.9576482311908321,1.4299999999999926,0.0,0.0,6,2.9791666666666514
T0,465,librosa,smooth,0,librosa,0.48,45.8,45.70666666666666,-0.09333333333333371,-0.04861111111111131,exact,0.9744847890088322,0.9315196998123827,0.9525179856115108,1.1213333333333253,0.0,0.16666666666666666,6,2.3361111111110944
T0,115,librosa,smooth,0,librosa,0.512,42.8,34.432,-8.367999999999995,-4.085937499999997,off,0.600263852242744,0.9323770491803278,0.7303370786516854,5.837999999999994,0.0,0.0,4,11.402343749999988
T0,236,librosa,smooth,0,librosa,0.44800000000000006,43.2,44.74666666666667,1.5466666666666669,0.863095238095238,within_1_bar,1.0,0.7153895685769478,0.8340840840840841,1.9779999999999944,0.0,0.0,6,4.415178571428559
T0,517,librosa,smooth,0,librosa,0.5013333333333333,18.1,17.749333333333333,-0.3506666666666689,-0.17486702127659687,exact,0.9306846999154691,0.86015625,0.8940316686967112,1.9319999999999986,0.0,0.3333333333333333,6,3.853723404255317
T0,351,librosa,smooth,0,librosa,0.48,34.3,36.266666666666666,1.9666666666666686,1.0243055555555567,off,1.0,0.9245076586433261,0.9607731665719159,1.3866666666666632,0.0,0.0,4,2.8888888888888817
T0,91,librosa,smooth,0,librosa,0.48,32.4,32.192,-0.2079999999999984,-0.1083333333333325,exact,0.772196261682243,0.8685939553219448,0.8175633889919603,5.100000000000001,0.25,0.5,4,10.625000000000004
